# TileOPs Benchmark Report
Generated: 2026-08-12 00:06:28

## Environment

- **Torch version**: 2.10.0+cu129
- **CUDA version (torch)**: 12.9
- **GPU model**: NVIDIA H200
- **Driver version**: 595.71.05
- **GPU clocks**: SM current 1500 MHz, memory current 3201 MHz, application SM [Requested functionality has been deprecated] MHz, application memory [Requested functionality has been deprecated] MHz

## GatedDeltaNetPrefillFwdOp

### tileops

| batch | heads | seq_len | dim_k | dim_v | chunk_size | layout | dtype | latency_ms | tflops | bandwidth_tbs | n_samples | latency_p10_ms | latency_p90_ms | timing | speedup_vs_fla | config |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | 16 | 4096 | 128 | 128 | 64 | bthd | torch.float16 | 0.5592 | 15.3602 | 0.1514 | 200.0000 | 0.2724 | 0.7770 | cupti | 1.6242 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 4096 | 128 | 128 | 64 | bthd | torch.bfloat16 | 0.9837 | 8.7318 | 0.0861 | 200.0000 | 0.2800 | 1.1987 | cupti | 1.3128 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 1.5375 | 44.6943 | 0.4382 | 143.0000 | 1.4869 | 1.5934 | cupti | 2.9363 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 1.5513 | 44.2970 | 0.4343 | 140.0000 | 1.5026 | 1.5927 | cupti | 2.8968 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 1.7921 | 76.6928 | 0.7516 | 98.0000 | 1.7381 | 1.9070 | cupti | 2.3625 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 1.8924 | 72.6271 | 0.7117 | 98.0000 | 1.7484 | 1.9221 | cupti | 3.0114 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 2.4633 | 111.5890 | 1.0934 | 62.0000 | 2.1444 | 2.7570 | cupti | 3.1113 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.4785 | 110.9032 | 1.0866 | 61.0000 | 2.1745 | 2.5154 | cupti | 2.8930 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 1.8871 | 72.8291 | 0.7140 | 97.0000 | 1.7446 | 1.9249 | cupti | 2.4901 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 1.9078 | 72.0424 | 0.7063 | 97.0000 | 1.7602 | 2.0384 | cupti | 2.5542 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 2.4838 | 110.6703 | 1.0846 | 61.0000 | 2.1597 | 2.5450 | cupti | 2.4086 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.4854 | 110.5976 | 1.0839 | 61.0000 | 2.1671 | 2.5306 | cupti | 2.3012 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 3.6900 | 148.9853 | 1.4598 | 35.0000 | 3.0167 | 3.7258 | cupti | 2.9402 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 32 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 3.1535 | 174.3336 | 1.7081 | 34.0000 | 3.0487 | 3.7577 | cupti | 3.4399 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 2.2113 | 93.2293 | 0.9140 | 73.0000 | 1.9803 | 2.2380 | cupti | 2.4317 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.1412 | 96.2813 | 0.9439 | 72.0000 | 1.9961 | 2.2547 | cupti | 2.6364 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 2.8836 | 142.9862 | 1.4013 | 44.0000 | 2.5970 | 3.1418 | cupti | 2.7722 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.7222 | 151.4652 | 1.4844 | 43.0000 | 2.2405 | 2.8299 | cupti | 2.9449 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 4.9585 | 166.3064 | 1.6295 | 23.0000 | 4.1429 | 5.8023 | cupti | 3.2158 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 48 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.0232 | 164.1663 | 1.6085 | 23.0000 | 4.2027 | 5.0473 | cupti | 3.1798 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 64 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 2.0572 | 133.6158 | 1.3099 | 61.0000 | 1.7286 | 2.0845 | cupti | 2.4035 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 2.0941 | 131.2616 | 1.2869 | 61.0000 | 1.7799 | 2.1214 | cupti | 2.4329 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 3.6819 | 149.3115 | 1.4632 | 35.0000 | 2.9513 | 3.7158 | cupti | 2.6654 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 3.7096 | 148.2000 | 1.4524 | 35.0000 | 2.9874 | 3.7983 | cupti | 2.6553 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 131072 | 128 | 128 | 64 | bthd | torch.float16 | 6.0870 | 180.6335 | 1.7699 | 19.0000 | 5.1856 | 6.1493 | cupti | 3.2260 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |
| 1 | 64 | 131072 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.4292 | 202.5177 | 1.9843 | 18.0000 | 5.2539 | 6.2054 | cupti | 3.6246 | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 256, 'h_block_v': 32, 'o_threads': 256} |

### fla

| batch | heads | seq_len | dim_k | dim_v | chunk_size | layout | dtype | latency_ms | tflops | bandwidth_tbs | n_samples | latency_p10_ms | latency_p90_ms | timing | speedup_vs_fla | config |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | 16 | 4096 | 128 | 128 | 64 | bthd | torch.float16 | 0.9083 | 9.4572 | 0.0932 | 169.0000 | 0.7093 | 0.9381 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 4096 | 128 | 128 | 64 | bthd | torch.bfloat16 | 1.2915 | 6.6513 | 0.0656 | 183.0000 | 0.7053 | 1.3318 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 32768 | 128 | 128 | 64 | bthd | torch.float16 | 4.5147 | 15.2213 | 0.1492 | 53.0000 | 1.8188 | 5.4683 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 32768 | 128 | 128 | 64 | bthd | torch.bfloat16 | 4.4939 | 15.2917 | 0.1499 | 54.0000 | 1.8048 | 5.3429 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 65536 | 128 | 128 | 64 | bthd | torch.float16 | 4.2338 | 32.4620 | 0.3181 | 27.0000 | 3.5414 | 6.5794 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
| 1 | 16 | 65536 | 128 | 128 | 64 | bthd | torch.bfloat16 | 5.6988 | 24.1171 | 0.2363 | 28.0000 | 3.5019 | 7.1202 | cupti | N/A | {'fused_num_stages': 2, 'fused_threads': 128, 'h_num_stages': 2, 'h_threads': 128, 'h_block_v': 16, 'o_threads': 256} |
