oracle_pairwise_max_abs [0.0, 0.0, 0.0, 0.0]
GemmW4A16DecodeKernel initialized with config: {'block_n': 16, 'threads': 128}
0 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
1 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
2 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
3 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
4 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
5 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
6 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
7 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
8 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
9 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
10 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
11 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
12 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
13 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
14 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
15 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
16 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
17 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
18 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
19 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
20 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
21 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
22 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
23 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
24 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
25 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
26 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
27 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
28 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
29 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
30 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
31 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
32 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
33 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
34 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
35 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
36 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
37 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
38 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
39 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
40 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
41 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
42 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
43 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
44 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
45 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
46 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
47 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
48 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
49 failures 0 max_abs 0.125 index7846 -0.00716400146484375 expected7846 -0.006694793701171875
candidate_pairwise_max_abs [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
